date,previous_date,portfolio_value,historical_var_return_100,historical_var_dollar_100,bootstrap_ci_lower_return_100,bootstrap_ci_upper_return_100,bootstrap_ci_lower_dollar_100,bootstrap_ci_upper_dollar_100,bootstrap_std_return_100,bootstrap_std_dollar_100,ci_width_return_100,ci_width_dollar_100
2025-02-07,2025-02-06,21395698.018929765,0.016651736340535517,356275.5222329365,0.015929544210328682,0.02656510737954381,340823.71750338346,568379.0153331619,0.00392226515820772,83919.60087518215,0.010635563169215129,227555.29782977846
2025-02-10,2025-02-07,21241046.555414952,0.016589055386975488,352368.89778510353,0.015854054724153445,0.026658338145461057,336756.71448783966,566251.0016377326,0.00379298580359841,80566.98803826183,0.010804283421307612,229494.28714989295
2025-02-11,2025-02-10,21629920.99857034,0.016617168204561234,359428.03548461443,0.013614657244143636,0.02656997255613109,294483.96061344026,574706.4073232976,0.003946403569624604,85360.39743945617,0.012955315311987453,280222.4467098573
2025-02-12,2025-02-11,21721631.464069985,0.016674140741097788,362189.5401581609,0.013494099396798846,0.02692006754992959,293113.85403679364,584747.78630744,0.003922972130794546,85213.35486893647,0.013425968153130744,291633.9322706464
2025-02-13,2025-02-12,21793001.739644513,0.016656128569632153,362987.0388937362,0.013395036987875501,0.026444763749939423,291918.0643793734,576310.782406918,0.0036749710450301957,80088.65037748626,0.013049726762063922,284392.7180275446
2025-02-14,2025-02-13,22155727.82965422,0.01662494945013527,368337.8551989566,0.013414445498381309,0.026493156353129304,297206.8034478665,586975.1615084074,0.0037028395363637623,82039.10496455854,0.013078710854747995,289768.3580605409
2025-02-18,2025-02-14,23132170.014385156,0.01680506243533884,388737.5613566155,0.013268750731406834,0.026290940953320498,306934.9977974003,608166.5159703711,0.004058234148110044,93875.76227226506,0.013022190221913664,301231.5181729708
2025-02-19,2025-02-18,23118718.468919724,0.016676015376533872,385528.1046734629,0.013345426558376146,0.025907585769324056,308529.1594507424,598950.1816103939,0.0033683272042497694,77871.40834625388,0.01256215921094791,290421.0221596515
2025-02-20,2025-02-19,22783064.82431398,0.016718207669752492,380892.0090863142,0.014371356078245575,0.026297193088160545,327423.53714396764,599130.6548250632,0.0036358686292936415,82836.23067388665,0.01192583700991497,271707.11768109555
2025-02-21,2025-02-20,21584333.287564486,0.017487064369585144,377446.6255742195,0.014585113264283904,0.029889186319743234,314809.9457331814,645138.1592194509,0.005100040551691087,110080.97504779468,0.01530407305545933,330328.2134862695
2025-02-24,2025-02-21,20089636.52001195,0.021508921089428333,432106.4066242347,0.015128671369904919,0.048361983719962705,303929.5088521011,971574.6743207861,0.009243409440133632,185696.73585793184,0.03323331235005779,667645.1654686851
2025-02-25,2025-02-24,19780046.93905622,0.021311177805011707,421536.0973097047,0.01498347447859955,0.047772446946140856,296373.82849685004,944941.2429882392,0.008749088940367971,173057.38991445614,0.032788972467541304,648567.4144913892
2025-02-26,2025-02-25,19634766.772005085,0.021665121288929147,425389.603595326,0.015336194349352687,0.04891132718562432,301122.5992196823,960362.5017989654,0.00919584122230779,180558.19767240362,0.03357513283627163,659239.9025792831
2025-02-27,2025-02-26,20070311.447294954,0.021974405554821004,441033.1633544258,0.015615962482243752,0.04993589010154529,313417.2305679053,1002228.8667359073,0.010776586072263904,216289.43880891762,0.03431992761930154,688811.6361680019
2025-02-28,2025-02-27,19122678.73791581,0.024635505580354166,471096.8587592449,0.016202988041785223,0.05017116018115533,309844.5349173504,959406.9780527474,0.011559548299501102,221049.5284867806,0.03396817213937011,649562.443135397
2025-03-03,2025-02-28,19517085.53920162,0.025229052889752652,492397.58332234435,0.016353820048749683,0.05096053072322843,319178.904784158,994601.0372483615,0.01153445011926985,225118.849625444,0.03460671067447875,675422.1324642035
2025-03-04,2025-03-03,18504407.313604474,0.030941782848173147,572559.3528316966,0.0164290053113057,0.05209168626783544,304009.00603777193,963925.7803525239,0.01318226025064397,243929.91299185384,0.03566268095652974,659916.774314752
2025-03-05,2025-03-04,18191128.620315347,0.030739935584271936,559194.1219936993,0.016531765031699515,0.05204663935881768,300731.4640124775,946787.1108314196,0.013010422004848879,236674.26009478702,0.03551487432711817,646055.6468189422
2025-03-06,2025-03-05,18514275.17247059,0.030062225124698617,556580.3082554291,0.016661874472952126,0.05199481950626657,308482.528881399,962646.3958819605,0.013053986816272468,241685.10401427172,0.03533294503331444,654163.8670005614
